country,degree_raw,closeness_raw,betweenness_raw,eigenvector_raw,pagerank_raw,degree_norm,closeness_norm,betweenness_norm,eigenvector_norm,pagerank_norm,composite_score,rank,is_hub,is_broker,role
Hong Kong SAR China,6,0.0026109660574412533,59.599349900386756,0.09944454777809504,0.005340404611509369,0.16666666666666666,0.0016473051550812932,0.02445771053943837,0.09944454777809503,0.1521169986366752,0.08886664575519129,73,FALSE,FALSE,Peripheral
Fiji,3,0.0014285714285714286,259,0.0017843570210891628,0.008181215953928395,0.06666666666666667,4.6376811594202896e-4,0.10628550546779422,0.0017843570210891518,0.2677896964518768,0.08859799874467376,74,FALSE,FALSE,Peripheral
Malawi,3,0.08333333333333333,1,7.729680463204181e-17,0.008525976319417441,0.06666666666666667,0.08244766505636071,4.1036874697990045e-4,6.620850800530965e-17,0.28182771473925616,0.0862704830418527,75,FALSE,FALSE,Peripheral
Mauritius,5,0.0027247956403269754,201.5814502067755,0.03738954475810474,0.005696630887559788,0.13333333333333333,0.0017612447182403347,0.08272272713574565,0.03738954475810473,0.16662188805616301,0.08436574760031741,76,FALSE,FALSE,Peripheral
Poland,7,0.0026666666666666666,37.88218937078804,0.036923020914543705,0.0056743796422611854,0.2,0.0017030595813204508,0.015545666584945592,0.03692302091454369,0.165715857608099,0.08397752093778174,77,FALSE,FALSE,Peripheral
Taiwan,6,0.0025,32.6291586952382,0.10372992190676301,0.004688659116746167,0.16666666666666666,0.001536231884057971,0.013389986968773226,0.103729921906763,0.12557910133161618,0.08218038175157541,78,FALSE,FALSE,Peripheral
Vietnam,5,0.0028011204481792717,8.487249705754566,0.11916233948791856,0.004470319013972184,0.13333333333333333,0.001837643269868334,0.00348290202705603,0.11916233948791854,0.11668868740233045,0.07490098110410134,79,FALSE,FALSE,Peripheral
Indonesia,5,0.002506265664160401,33.97268630062749,0.1050711225370896,0.004525447893154281,0.13333333333333333,0.0015425036020001695,0.013941328708729732,0.10507112253708958,0.11893343561468141,0.07456434475916685,80,FALSE,FALSE,Peripheral
Turkmenistan,7,0.002320185614849188,0.9094483947425123,0.017715279388356302,0.0052184151943261555,0.2,0.0013562437652016991,3.7320919819336666e-4,0.017715279388356292,0.14714981029164745,0.07331890852867975,81,FALSE,FALSE,Peripheral
South Africa,2,0.058823529411764705,0,4.392968543332218e-17,0.00835339570659286,0.03333333333333333,0.057914180164819556,0,3.2841388806590025e-17,0.2748005444453565,0.07320961158870189,82,FALSE,FALSE,Peripheral
Tajikistan,7,0.002242152466367713,0.8328754578754578,0.012394501773752968,0.005225565133953915,0.2,0.0012781352223738653,3.417860580386625e-4,0.012394501773752958,0.14744094289648088,0.07229107319012927,83,FALSE,FALSE,Peripheral
Papua New Guinea,2,0.0017421602787456446,384,0.031744712310778765,0.004756728682060045,0.03333333333333333,7.776599505125487e-4,0.15758159884028178,0.03174471231077875,0.12835077086890392,0.07035761506076206,84,FALSE,FALSE,Peripheral
Sweden,5,0.002061855670103093,70.05502249253372,0.009967825225947453,0.005848233889437862,0.13333333333333333,0.001097664226306091,0.028748391799909807,0.009967825225947443,0.17279488798835396,0.06918842051477012,85,FALSE,FALSE,Peripheral
Kosovo,6,0.002652519893899204,17.83154499957082,0.04100058378311237,0.004735050159914394,0.16666666666666666,0.001688899140173503,0.007317508778189587,0.04100058378311235,0.12746806067136623,0.06882834380790168,86,FALSE,FALSE,Peripheral
Libya,5,0.002304147465437788,5.802365227365227,0.0394802053776062,0.005246031979472498,0.13333333333333333,0.0013401901199937667,0.0023811093478736133,0.03948020537760619,0.14827431581412256,0.06496183079858589,87,FALSE,FALSE,Peripheral
